SubjectID,GMV,WMV,sGMV,Ventricles
sub-02_T1w,485000.732846,478626.0,61178.0,20694.0
sub-03_T1w,587005.528501,463198.0,61052.0,15548.0
sub-04_T1w,516025.584434,451236.0,57752.0,8994.0
sub-05_T1w,521189.904487,520800.0,61836.0,7401.0
sub-07_T1w,526912.994163,464205.0,63569.0,14409.0
sub-08_T1w,442824.134726,423243.0,58145.0,6065.0
sub-09_T1w,415525.323864,386909.0,52241.0,8653.0
sub-100_T1w,486639.454134,393636.0,56793.0,7080.0
sub-101_T1w,536908.628216,486685.0,65975.0,9814.0
sub-102_T1w,527130.096802,466433.0,58237.0,12308.0
sub-103_T1w,517740.441567,503496.0,65567.0,26054.0
sub-104_T1w,488652.186117,410999.0,57624.0,14887.0
sub-105_T1w,503390.439932,504472.0,57807.0,13615.0
sub-106_T1w,573779.810242,530253.0,61546.0,23042.0
sub-107_T1w,528331.632814,406829.0,61376.0,15925.0
sub-108_T1w,564238.072739,519315.0,68733.0,9079.0
sub-109_T1w,578827.105801,520476.0,62313.0,35121.0
sub-10_T1w,512715.510839,442347.0,56607.0,6195.0
sub-110_T1w,598646.656797,475505.0,69085.0,16143.0
sub-111_T1w,445312.935796,398267.0,56431.0,13044.0
sub-112_T1w,486638.678761,423991.0,54534.0,16469.0
sub-113_T1w,513627.264455,464497.0,61641.0,21410.0
sub-114_T1w,518247.196074,445611.0,60278.0,14057.0
sub-115_T1w,469564.419965,420926.0,59057.0,16382.0
sub-116_T1w,458779.126662,397857.0,57252.0,14602.0
sub-117_T1w,466982.830482,382596.0,53296.0,10780.0
sub-118_T1w,504250.552608,466050.0,60815.0,14173.0
sub-119_T1w,492835.00279,386774.0,52408.0,6915.0
sub-11_T1w,546045.255816,499383.0,63680.0,11985.0
sub-120_T1w,550467.170667,561340.0,64780.0,18874.0
sub-121_T1w,507861.051967,432908.0,60092.0,9109.0
sub-122_T1w,507746.783218,456194.0,64463.0,15119.0
sub-123_T1w,480651.400233,439521.0,59288.0,8737.0
sub-124_T1w,540938.027911,491641.0,64312.0,17143.0
sub-125_T1w,498192.390517,488834.0,62951.0,21478.0
sub-126_T1w,496851.286646,427269.0,57786.0,10414.0
sub-127_T1w,547167.120838,425599.0,63590.0,13143.0
sub-128_T1w,491424.311402,400643.0,58524.0,14419.0
sub-129_T1w,513916.562184,429097.0,59320.0,12274.0
sub-130_T1w,534993.389408,543541.0,66651.0,27817.0
sub-131_T1w,509468.115177,423694.0,61493.0,8879.0
sub-132_T1w,502487.405305,410872.0,63180.0,13492.0
sub-133_T1w,556857.062536,482686.0,66159.0,17638.0
sub-134_T1w,511698.075707,414996.0,57401.0,14900.0
sub-135_T1w,537291.99392,476097.0,60252.0,8386.0
sub-136_T1w,498792.605218,405322.0,56642.0,5829.0
sub-137_T1w,512883.329587,422630.0,61948.0,9297.0
sub-138_T1w,477347.894319,442520.0,58676.0,14545.0
sub-139_T1w,541116.910265,467877.0,60993.0,7839.0
sub-13_T1w,474473.870231,416058.0,59554.0,7939.0
sub-140_T1w,477945.775332,419131.0,60684.0,12285.0
sub-141_T1w,516134.312557,454703.0,65846.0,15778.0
sub-142_T1w,473353.638733,442139.0,65437.0,10131.0
sub-143_T1w,472801.697269,350008.0,56590.0,7144.0
sub-144_T1w,489728.054831,458923.0,56773.0,16977.0
sub-145_T1w,436092.712931,372815.0,52082.0,10017.0
sub-146_T1w,514373.222519,514245.0,59227.0,12676.0
sub-14_T1w,482933.286646,460413.0,59656.0,10174.0
sub-15_T1w,482999.32381,404961.0,52448.0,17986.0
sub-16_T1w,549163.954442,527873.0,65497.0,20976.0
sub-17_T1w,594985.789044,509523.0,66506.0,13699.0
sub-18_T1w,506800.954468,464567.0,57587.0,19652.0
sub-19_T1w,464442.232787,435007.0,54398.0,18431.0
sub-20_T1w,562711.238435,528663.0,65864.0,11313.0
sub-21_T1w,533444.24413,469979.0,61798.0,46087.0
sub-22_T1w,512062.82287,412202.0,60910.0,8397.0
sub-24_T1w,562323.039106,524400.0,62717.0,14331.0
sub-25_T1w,540104.507443,494946.0,62650.0,24008.0
sub-26_T1w,491364.644833,441071.0,57537.0,18003.0
sub-28_T1w,562059.52624,476802.0,64490.0,23747.0
sub-29_T1w,492770.973763,445695.0,59584.0,8404.0
sub-30_T1w,514016.352634,428615.0,56131.0,13439.0
sub-31_T1w,602354.933935,564741.0,69066.0,15947.0
sub-32_T1w,605261.523596,547647.0,64883.0,10516.0
sub-33_T1w,524760.152216,437618.0,61070.0,17898.0
sub-34_T1w,449731.35508,446083.0,62062.0,22400.0
sub-38_T1w,505997.817798,439313.0,56866.0,10851.0
sub-39_T1w,459876.988229,407130.0,53258.0,13471.0
sub-40_T1w,534665.284349,509081.0,62687.0,33500.0
sub-41_T1w,543707.132071,515230.0,61208.0,11220.0
sub-42_T1w,474262.731057,419935.0,53282.0,11103.0
sub-43_T1w,546132.38739,537612.0,67709.0,16423.0
sub-44_T1w,498828.541641,486992.0,60370.0,9932.0
sub-45_T1w,504403.841886,472370.0,62881.0,9469.0
sub-46_T1w,507554.581966,467398.0,60235.0,20279.0
sub-47_T1w,500433.09359,412911.0,59377.0,7964.0
sub-48_T1w,567958.128889,537157.0,63128.0,11078.0
sub-49_T1w,472846.602832,392470.0,59331.0,8162.0
sub-50_T1w,555427.37063,576044.0,67943.0,10414.0
sub-51_T1w,522033.729586,428264.0,66122.0,13683.0
sub-52_T1w,570146.744636,502320.0,61274.0,18472.0
sub-53_T1w,503609.703718,475325.0,59986.0,10720.0
sub-54_T1w,514480.841895,442934.0,58263.0,9528.0
sub-55_T1w,667475.016301,568248.0,65508.0,34706.0
sub-56_T1w,669114.363996,542942.0,65492.0,15605.0
sub-57_T1w,502423.181901,414511.0,59064.0,12879.0
sub-58_T1w,541851.767,436007.0,60354.0,7966.0
sub-59_T1w,517886.990322,384446.0,55909.0,15097.0
sub-60_T1w,522656.202782,546862.0,60756.0,23124.0
sub-61_T1w,494721.699381,419269.0,51447.0,22171.0
sub-62_T1w,517056.903122,491051.0,58696.0,7868.0
sub-63_T1w,520490.919922,515496.0,63916.0,9588.0
sub-64_T1w,493380.143263,438320.0,56688.0,16051.0
sub-65_T1w,488523.451,424652.0,63119.0,8500.0
sub-66_T1w,614084.879273,544022.0,70468.0,15760.0
sub-67_T1w,544604.111157,475643.0,61014.0,19391.0
sub-68_T1w,484318.945358,457814.0,56812.0,13693.0
sub-69_T1w,563277.63892,511792.0,63408.0,25870.0
sub-70_T1w,570431.353028,481820.0,60303.0,22694.0
sub-72_T1w,491224.510977,428850.0,53046.0,7301.0
sub-73_T1w,545523.732604,469582.0,62095.0,15208.0
sub-74_T1w,466623.302997,413642.0,54892.0,6203.0
sub-75_T1w,490813.927122,377583.0,50839.0,16273.0
sub-76_T1w,591693.248862,512089.0,60474.0,12271.0
sub-77_T1w,542873.036284,488986.0,64900.0,10499.0
sub-78_T1w,461070.375493,422435.0,55056.0,6141.0
